County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Baldwin County, Georgia",866.0,45,,,47.0,61,0.0,30,9.0,17,505.0,223,0.0,30,0.0,30,61.0,79,0.0,30,,,0.0,30,0.0,30,7.0,19,12.0,25,0.0,30,0.0,30,0.0,30,0.0,30,13.0,25,0.0,30,0.0,30
"Ballard County, Kentucky",62.0,41,,,0.0,18,0.0,18,11.0,19,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,,,0.0,18,0.0,18,13.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,17.0,23,0.0,18
"Baltimore County, Maryland",62900.0,942,,,8671.0,1212,0.0,32,1920.0,618,4739.0,645,118.0,140,12.0,18,606.0,288,57.0,79,,,3161.0,872,343.0,179,9118.0,1380,35.0,34,163.0,163,4.0,6,0.0,32,8.0,18,459.0,182,2832.0,704,19.0,29
"Baltimore city, Maryland",20767.0,592,,,4690.0,537,18.0,22,964.0,268,2639.0,400,53.0,73,14.0,20,494.0,188,1.0,7,,,75.0,113,35.0,50,2985.0,515,369.0,276,31.0,56,9.0,11,0.0,32,95.0,93,201.0,95,1107.0,318,0.0,32
"Bamberg County, South Carolina",74.0,81,,,1.0,3,0.0,22,0.0,22,23.0,27,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,1.0,3,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,48.0,78,0.0,22
"Bandera County, Texas",211.0,39,,,0.0,28,0.0,28,88.0,51,4.0,6,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,93.0,66,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,22.0,25,0.0,28
"Banks County, Georgia",364.0,95,,,60.0,58,0.0,23,0.0,23,65.0,64,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,73.0,67,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,166.0,87,0.0,23
"Banner County, Nebraska",7.0,10,,,0.0,10,0.0,10,0.0,10,7.0,10,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Bannock County, Idaho",2424.0,136,,,199.0,111,0.0,29,688.0,206,103.0,64,0.0,29,0.0,29,67.0,91,0.0,29,,,35.0,45,0.0,29,465.0,161,208.0,185,0.0,29,0.0,29,0.0,29,0.0,29,89.0,93,128.0,153,0.0,29
"Baraga County, Michigan",69.0,15,,,19.0,17,0.0,15,1.0,3,17.0,17,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,1.0,3,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
