County,B02018_002E,B02018_002M,B02018_003E,B02018_003M,B02018_004E,B02018_004M,B02018_005E,B02018_005M,B02018_006E,B02018_006M,B02018_007E,B02018_007M,B02018_008E,B02018_008M,B02018_009E,B02018_009M,B02018_011E,B02018_011M,B02018_012E,B02018_012M,B02018_013E,B02018_013M,B02018_014E,B02018_014M,B02018_015E,B02018_015M,B02018_016E,B02018_016M,B02018_017E,B02018_017M,B02018_018E,B02018_018M,B02018_019E,B02018_019M,B02018_020E,B02018_020M,B02018_021E,B02018_021M
"Lexington County, South Carolina",1147.0,418,94.0,121,372.0,139,602.0,204,0.0,33,0.0,33,72.0,65,0.0,33,66.0,139,42.0,54,1147.0,352,10.0,16,213.0,178,0.0,33,0.0,33,73.0,109,345.0,176,492.0,238,13.0,20
"Lexington city, Virginia",250.0,158,0.0,19,61.0,82,45.0,58,0.0,19,0.0,19,18.0,42,0.0,19,0.0,19,0.0,19,64.0,52,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
"Liberty County, Florida",0.0,21,0.0,21,4.0,9,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,70.0,27,0.0,21
"Liberty County, Georgia",77.0,52,0.0,34,369.0,198,685.0,343,0.0,34,0.0,34,0.0,34,0.0,34,0.0,34,14.0,20,443.0,191,4.0,7,16.0,25,0.0,34,0.0,34,0.0,34,5.0,8,198.0,140,0.0,34
"Liberty County, Montana",0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11
"Liberty County, Texas",8.0,19,0.0,35,31.0,37,64.0,103,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,17.0,32,366.0,222,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,208.0,194,0.0,35
"Licking County, Ohio",689.0,354,19.0,33,363.0,224,415.0,236,10.0,17,0.0,30,30.0,37,0.0,30,18.0,21,20.0,21,402.0,207,0.0,30,69.0,100,0.0,30,0.0,30,0.0,30,77.0,115,319.0,136,0.0,30
"Limestone County, Alabama",542.0,233,0.0,31,247.0,151,475.0,279,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,15.0,26,532.0,372,12.0,22,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,149.0,155,0.0,31
"Limestone County, Texas",9.0,18,0.0,28,0.0,28,40.0,48,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,4.0,9,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,158.0,65,0.0,28
"Lincoln County, Arkansas",20.0,38,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,47.0,79,0.0,20,0.0,20
